,Number,Initial Impact Location_x,Principal Damage Location_x,Extent of Damage_x,Vehicle Type_x,Vehicle Use_x,V_Age_x,Initial Impact Location_y,Principal Damage Location_y,Extent of Damage_y,Vehicle Type_y,Vehicle Use_y,V_Age_y
45290,2018043107892-18               ,06,06,02,01,01,1.0,06,06,02,01,01,1.0
45291,2018043107974-18               ,10,10,02,01,01,5.0,10,10,03,01,01,5.0
45292,2018043108595-18               ,04,04,02,01,01,6.0,04,04,03,01,01,6.0
45293,2018043109194-18               ,06,06,02,01,01,5.0,06,06,03,01,01,5.0
45294,2018043418-123-AC              ,06,06,02,01,01,14.0,06,06,02,01,01,14.0
45295,2018043418-143-AC              ,03,03,02,01,01,10.0,03,03,03,01,01,10.0
45296,2018043418-195-AC              ,03,03,02,01,01,2.0,03,03,02,01,01,2.0
45297,2018043418-227-AC              ,08,08,02,01,01,13.0,08,08,02,01,01,13.0
45298,2018043418-274-AC              ,03,03,02,01,01,10.0,03,03,02,01,01,10.0
45299,2018043418-281-AC              ,11,11,02,01,01,1.0,11,11,03,01,01,1.0
45300,2018043418-302-AC              ,07,07,02,01,01,11.0,07,07,03,01,01,11.0
45301,2018043418-309-AC              ,07,08,02,04,01,8.0,07,08,02,04,01,8.0
45302,2018043418-347-AC              ,04,04,02,23,02,0.3,04,04,01,23,02,0.3
45303,2018043418-371-AC              ,11,10,02,01,01,6.0,11,10,02,01,01,6.0
45304,2018043418-447-AC              ,06,06,02,30,02,2.0,06,06,01,30,02,2.0
45305,2018043418-467-AC              ,05,05,02,01,01,13.0,05,05,04,01,01,13.0
45306,2018043418-47-AC               ,11,11,02,05,01,5.0,11,11,02,05,01,5.0
45307,2018043418-86-AC               ,10,10,02,01,01,1.0,10,10,02,01,01,1.0
45308,2018043418-9-AC                ,09,09,02,04,01,12.0,09,09,02,04,01,12.0
45309,201804342018-15069             ,11,11,02,01,01,7.0,11,11,04,01,01,7.0
45310,201804342018-16048             ,09,09,02,01,01,10.0,09,09,02,01,01,10.0
45311,201804342018-16851             ,02,02,02,04,01,11.0,02,02,02,04,01,11.0
45312,201804342018-17299             ,09,10,02,01,01,5.0,09,10,02,01,01,5.0
45313,201804342018-17588             ,12,06,02,01,01,6.0,12,06,02,01,01,6.0
