,Number,Initial Impact Location_x,Principal Damage Location_x,Extent of Damage_x,Vehicle Type_x,Vehicle Use_x,V_Age_x,Initial Impact Location_y,Principal Damage Location_y,Extent of Damage_y,Vehicle Type_y,Vehicle Use_y,V_Age_y
23861,2018041618-299-A               ,03,05,03,04,01,17.0,12,12,04,04,01,10.0
23862,2018041618-301-A               ,11,11,02,04,01,1.0,05,05,02,01,03,9.0
23863,2018041618-302-A               ,06,12,02,25,02,10.0,12,12,02,04,01,3.0
23864,2018041618-303-A               ,12,12,02,01,01,4.0,06,06,02,01,01,11.0
23865,2018041618-305-A               ,12,12,02,01,01,10.0,06,06,02,01,02,0.5
23866,2018041618-308-A               ,12,17,01,01,01,13.0,06,06,02,01,01,13.0
23867,2018041618-309-A               ,11,11,02,01,01,21.0,03,03,03,01,01,13.0
23868,2018041618-311-A               ,12,12,03,01,01,6.0,06,06,03,01,01,0.5
23869,2018041618-313-A               ,06,06,02,20,02,1.0,12,12,03,01,01,5.0
23870,2018041618-314-A               ,12,12,04,01,01,15.0,06,06,02,04,01,3.0
23871,2018041618-317-A               ,11,11,02,01,01,16.0,05,05,02,01,01,5.0
23872,2018041618-318-A               ,11,11,03,04,01,7.0,04,04,03,04,01,2.0
23873,2018041618-319-A               ,09,09,03,04,01,2.0,01,01,03,01,01,6.0
23874,2018041618-321-A               ,05,05,02,04,01,16.0,10,10,03,01,01,1.0
23875,2018041618-323-A               ,12,12,01,21,02,13.0,12,12,02,21,02,13.0
23876,2018041618-324-A               ,12,12,02,01,01,3.0,04,04,02,01,01,4.0
23877,2018041618-325-A               ,12,12,02,01,01,2.0,06,06,03,01,01,3.0
23878,2018041618-326-A               ,11,11,04,01,01,15.0,11,11,02,01,01,15.0
23879,2018041618-327-A               ,12,12,02,01,01,17.0,06,06,02,01,01,3.0
23880,2018041618-330-A               ,12,12,02,04,01,12.0,06,06,02,04,01,0.5
23881,2018041618-335-A               ,12,12,04,01,01,11.0,06,06,03,01,01,0.5
23882,2018041618-339-A               ,02,02,03,01,01,11.0,12,15,04,08,01,0.5
23883,2018041618-340-A               ,12,12,01,01,01,9.0,06,06,02,01,01,0.3
23884,2018041618-341-A               ,12,12,02,01,01,20.0,06,06,02,01,01,4.0
23885,2018041618-344-A               ,12,12,04,04,01,17.0,12,12,02,04,01,17.0
23886,2018041618-345-A               ,12,12,02,04,01,14.0,06,06,02,01,01,0.5
23887,2018041618-346-A               ,03,03,03,31,02,7.0,10,10,04,01,01,16.0
23888,2018041618-347-A               ,12,12,02,01,01,11.0,06,06,02,01,01,11.0
23889,2018041618-353-A               ,05,05,03,01,01,1.0,01,01,03,04,01,5.0
23890,2018041618-354-A               ,12,12,03,01,01,1.0,06,06,02,04,01,8.0
23891,2018041618-356-A               ,12,12,01,04,01,11.0,06,06,03,01,01,11.0
23892,2018041618-357-A               ,01,01,02,25,02,3.0,11,11,02,25,02,8.0
23893,2018041618-358-A               ,12,17,01,05,01,15.0,06,06,03,04,01,5.0
23894,2018041618-359-A               ,05,05,04,31,02,10.0,10,10,04,01,01,13.0
23895,2018041618-361-A               ,12,12,04,01,01,9.0,06,06,04,01,01,3.0
23896,2018041618-363-A               ,05,05,02,01,01,10.0,05,05,02,05,02,2.0
23897,2018041618-364-A               ,12,12,02,05,02,16.0,06,06,04,01,01,12.0
23898,2018041618-368-A               ,01,01,04,01,01,14.0,07,07,04,04,01,11.0
23899,2018041618-370-A               ,12,01,02,25,02,2.0,09,10,03,01,01,1.0
23900,2018041618-372-A               ,01,01,02,04,01,5.0,09,09,02,01,01,5.0
23901,2018041618-373-A               ,12,15,04,05,01,4.0,12,15,02,05,01,4.0
23902,2018041618-374-A               ,14,12,03,01,04,6.0,14,12,02,01,04,6.0
23903,2018041618-378-A               ,12,12,03,01,01,5.0,06,06,02,20,02,2.0
23904,2018041618-379-A               ,04,04,04,04,01,0.5,11,11,04,04,01,5.0
23905,2018041618-384-A               ,12,12,02,04,01,1.0,06,06,03,01,01,10.0
23906,2018041618-385-A               ,02,14,04,01,01,2.0,02,14,02,01,01,2.0
23907,2018041618-387-A               ,01,02,02,01,01,4.0,10,09,02,01,01,8.0
23908,2018041618-390-A               ,03,04,03,01,01,4.0,11,10,03,05,01,2.0
23909,2018041618-391-A               ,12,12,02,03,02,14.0,06,06,02,01,02,9.0
23910,2018041618-393-A               ,12,12,04,01,01,3.0,06,06,04,01,01,0.5
23911,2018041618-396-A               ,10,12,04,04,02,17.0,10,12,02,04,02,17.0
23912,2018041618-397-A               ,06,06,02,25,02,13.0,03,03,03,04,03,18.0
23913,2018041618-399-A               ,11,11,03,08,01,16.0,05,05,03,04,01,3.0
23914,2018041618-400-A               ,12,12,04,01,01,14.0,06,06,03,01,01,5.0
23915,2018041618-402-A               ,12,12,02,01,01,2.0,06,06,02,04,01,2.0
23916,2018041618-403-A               ,01,01,03,01,01,6.0,10,10,03,04,01,12.0
23917,2018041618-404-A               ,12,12,04,01,01,20.0,03,03,04,20,02,7.0
23918,2018041618-406-A               ,03,03,04,01,01,6.0,12,12,02,01,01,15.0
23919,2018041618-409-A               ,12,12,02,04,01,7.0,06,06,02,01,01,3.0
23920,2018041618-410-A               ,12,12,02,01,01,1.0,06,06,02,04,01,3.0
23921,2018041618-411-A               ,12,12,02,04,01,15.0,06,06,02,01,01,2.0
23922,2018041618-414-A               ,06,06,02,01,01,10.0,12,12,02,01,01,3.0
23923,2018041618-415-A               ,12,12,03,04,01,1.0,12,12,02,04,01,1.0
23924,2018041618-418-A               ,11,12,03,01,01,13.0,12,01,03,01,01,1.0
23925,2018041618-419-A               ,03,03,02,04,01,2.0,07,07,02,05,02,14.0
23926,2018041618-423-A               ,12,12,02,01,01,15.0,06,06,02,04,01,2.0
23927,2018041618-426-A               ,12,12,04,01,01,2.0,06,06,03,04,01,2.0
23928,2018041618-427-A               ,12,12,04,08,01,15.0,12,12,02,08,01,15.0
23929,2018041618-428-A               ,12,06,02,01,01,12.0,12,06,02,01,01,12.0
23930,2018041618-431-A               ,06,06,03,31,03,4.0,06,06,02,31,03,4.0
23931,2018041618-432-A               ,05,05,02,04,01,1.0,11,11,02,01,01,5.0
23932,2018041618-433-A               ,14,14,04,01,01,17.0,14,14,02,01,01,17.0
23933,2018041618-434-A               ,12,01,03,04,01,8.0,01,02,03,01,01,12.0
23934,2018041618-435-A               ,06,06,02,04,01,13.0,12,12,02,01,01,1.0
23935,2018041618-436-A               ,02,01,03,05,01,5.0,11,10,03,01,01,21.0
23936,2018041618-437-A               ,11,11,04,01,01,1.0,11,11,02,01,01,1.0
23937,2018041618-441-A               ,07,07,02,05,02,13.0,11,11,03,01,01,18.0
23938,2018041618-442-A               ,12,12,03,04,01,1.0,11,11,04,01,01,14.0
23939,2018041618-444-A               ,05,05,02,03,02,0.5,01,01,02,01,01,18.0
23940,2018041618-446-A               ,02,17,01,20,02,13.0,08,08,03,01,01,1.0
23941,2018041618-447-A               ,12,12,04,01,01,2.0,06,06,02,01,01,6.0
23942,2018041618-449-A               ,03,03,04,04,01,0.5,11,12,03,01,01,7.0
23943,2018041618-452-A               ,05,05,02,05,01,1.0,01,01,03,01,01,17.0
23944,2018041618-453-A               ,01,01,03,05,01,18.0,09,09,03,04,01,0.5
23945,2018041618-456-A               ,01,15,04,01,01,3.0,02,14,04,05,01,2.0
23946,2018041618-457-A               ,12,12,04,01,01,12.0,06,12,04,01,01,12.0
23947,2018041618-458-A               ,12,12,02,01,01,9.0,06,06,02,05,01,10.0
23948,2018041618-462-A               ,11,11,03,04,01,4.0,02,02,03,01,01,6.0
23949,2018041618-463-A               ,08,17,01,25,02,11.0,07,07,03,03,02,7.0
23950,2018041618-465-A               ,12,12,03,04,01,5.0,06,06,03,04,01,7.0
23951,2018041618-471-A               ,12,12,04,01,01,3.0,06,12,04,04,01,0.5
23952,2018041618-473-A               ,12,12,02,01,01,0.5,06,06,02,04,01,10.0
23953,2018041618-474-A               ,11,11,02,04,01,7.0,03,03,03,04,01,2.0
23954,2018041618-475-A               ,08,08,02,01,01,5.0,12,12,03,01,01,11.0
23955,2018041618-476-A               ,12,12,03,05,01,17.0,11,11,03,01,01,0.5
23956,2018041618-477-A               ,05,05,02,05,01,10.0,09,09,02,01,01,18.0
23957,2018041618-478-A               ,12,12,02,04,01,3.0,06,06,02,01,01,9.0
23958,2018041618-479-A               ,12,12,03,04,01,7.0,04,04,03,01,01,8.0
23959,2018041618-482-A               ,12,12,02,20,02,6.0,06,06,02,01,01,9.0
23960,2018041618-483-A               ,12,12,03,01,01,3.0,05,05,03,01,01,12.0
23961,2018041618-484-A               ,10,10,02,01,01,9.0,04,04,02,01,01,1.0
23962,2018041618-486-A               ,01,01,02,01,01,8.0,01,01,02,01,01,8.0
23963,2018041618-487-A               ,12,12,04,01,01,18.0,06,12,03,01,01,3.0
23964,2018041618-489-A               ,02,02,02,01,01,1.0,10,10,02,01,01,1.0
23965,2018041618-490-A               ,12,14,02,01,01,0.5,12,14,02,01,01,0.5
23966,2018041618-491-A               ,12,12,03,01,01,15.0,03,03,03,04,01,2.0
23967,2018041618-493-A               ,05,05,02,31,03,4.0,05,05,02,31,03,4.0
23968,2018041618-495-A               ,07,07,03,01,01,2.0,01,01,03,01,01,6.0
23969,2018041618-500-A               ,12,12,03,04,01,0.5,06,06,03,01,01,5.0
23970,2018041618-503-A               ,12,12,02,05,01,16.0,06,06,02,02,01,0.5
23971,2018041618-504-A               ,01,01,03,01,01,8.0,07,07,03,01,01,12.0
23972,2018041618-505-A               ,12,12,02,01,01,11.0,06,06,02,01,01,5.0
23973,2018041618-507-A               ,12,12,03,04,01,2.0,06,17,01,03,02,7.0
23974,2018041618-509-A               ,12,12,03,01,01,14.0,06,06,03,01,01,20.0
23975,2018041618-510-A               ,12,14,04,01,01,7.0,12,14,02,01,01,7.0
23976,2018041618-515-A               ,12,12,03,01,01,8.0,06,06,03,01,01,5.0
23977,2018041618-516-A               ,12,12,02,04,01,5.0,06,06,02,01,01,3.0
23978,2018041618-517-A               ,04,04,02,01,01,8.0,09,09,03,01,01,14.0
23979,2018041618-519-A               ,03,03,02,01,01,5.0,09,09,02,01,01,8.0
23980,2018041618-520-A               ,12,12,04,01,01,0.3,06,06,03,01,01,1.0
23981,2018041618-521-A               ,12,12,03,01,01,1.0,05,05,03,01,01,13.0
23982,2018041618-522-A               ,12,12,02,04,01,11.0,06,06,02,01,01,0.5
23983,2018041618-524-A               ,09,09,02,01,01,7.0,09,09,02,01,01,6.0
23984,2018041618-525-A               ,01,01,04,01,01,12.0,07,07,04,01,01,11.0
23985,2018041618-526-A               ,03,03,04,01,01,11.0,11,11,04,01,01,1.0
23986,2018041618-529-A               ,12,12,03,01,01,8.0,06,06,02,01,01,14.0
23987,2018041618-531-A               ,12,12,03,01,01,18.0,06,06,03,01,01,2.0
23988,2018041618-532-A               ,02,02,02,31,02,7.0,02,02,02,31,02,7.0
23989,2018041618-534-A               ,09,09,02,01,01,1.0,01,01,02,01,01,10.0
23990,2018041618-538-A               ,12,12,02,03,02,14.0,06,06,02,04,01,2.0
23991,2018041618-539-A               ,12,12,03,01,01,12.0,06,06,03,01,01,6.0
23992,2018041618-541-A               ,11,11,04,01,01,0.5,05,05,04,04,01,12.0
23993,2018041618-542-A               ,12,12,02,01,01,1.0,12,12,02,01,01,1.0
23994,2018041618-546-A               ,12,12,03,01,01,14.0,06,06,02,04,02,0.5
23995,2018041618-549-A               ,12,12,03,01,01,20.0,06,06,03,01,01,6.0
23996,2018041618-551-A               ,12,14,04,01,01,10.0,12,14,02,01,01,10.0
23997,2018041618-553-A               ,12,12,04,01,01,9.0,06,06,03,04,01,11.0
23998,2018041618-554-A               ,14,14,04,04,01,15.0,14,14,02,04,01,15.0
23999,2018041618-556-A               ,01,01,02,01,01,7.0,11,11,02,01,01,9.0
24000,2018041618-558-A               ,06,06,02,01,01,0.5,12,12,02,01,01,17.0
24001,2018041618-560-A               ,01,01,04,01,01,17.0,10,09,03,01,01,16.0
24002,2018041618-561-A               ,12,12,04,01,01,2.0,06,06,02,01,01,7.0
24003,2018041618-562-A               ,12,12,03,01,01,9.0,06,06,03,04,01,10.0
24004,2018041618-565-A               ,01,01,04,01,01,6.0,08,08,04,01,01,4.0
24005,2018041618-566-A               ,12,12,04,01,01,8.0,06,06,02,04,01,8.0
24006,2018041618-567-A               ,05,05,03,01,01,17.0,01,01,02,05,01,16.0
24007,2018041618-570-A               ,03,03,04,01,01,2.0,11,11,04,01,01,5.0
24008,2018041618-572-A               ,12,12,02,04,02,15.0,06,06,02,04,01,2.0
24009,2018041618-573-A               ,12,12,04,10,01,14.0,06,06,04,01,02,8.0
24010,2018041618-574-A               ,12,12,02,05,01,8.0,05,05,02,01,01,14.0
24011,2018041618-575-A               ,12,12,04,01,01,9.0,12,12,04,04,01,0.5
24012,2018041618-576-A               ,12,12,02,01,01,19.0,06,14,03,04,01,3.0
24013,201804161806140395             ,06,06,01,01,01,1.0,12,12,02,30,03,7.0
24014,2018041619-222-A               ,12,12,02,01,01,8.0,06,06,02,01,01,5.0
24015,201804162018-00255             ,03,03,02,22,02,8.0,11,11,03,03,02,9.0
24016,201804172018-00597             ,12,12,04,01,01,1.0,12,12,02,01,01,1.0
24017,201804172018-00621             ,10,10,04,01,01,9.0,12,12,03,01,01,15.0
24018,201804172018-00668             ,12,12,04,01,01,8.0,12,12,02,01,01,8.0
24019,201804172018-00951             ,01,01,02,05,01,6.0,11,11,03,01,01,4.0
24020,201804172018-01058             ,01,01,03,01,01,3.0,01,01,03,01,01,15.0
24021,201804172018-01060             ,09,09,02,01,01,6.0,07,07,01,40,05,1.0
24022,201804172018-01179             ,01,01,02,01,01,15.0,07,07,02,03,02,1.0
24023,201804172018-01279             ,12,17,01,01,01,17.0,06,17,01,01,01,2.0
24024,201804172018-01314             ,03,03,02,01,01,8.0,07,07,02,29,02,19.0
24025,201804172018-01364             ,11,11,04,04,01,0.5,06,06,03,04,01,7.0
24026,201804172018-01374             ,01,15,04,01,01,15.0,07,09,04,01,01,10.0
24027,201804172018-01375             ,04,04,04,01,01,6.0,04,04,02,01,01,6.0
24028,201804172018-01394             ,01,01,02,05,01,6.0,07,07,02,01,01,6.0
24029,201804172018-01396             ,04,04,02,04,01,2.0,10,10,02,04,01,7.0
24030,201804172018-01421             ,01,01,03,01,01,10.0,07,07,03,01,01,5.0
24031,201804172018-01947             ,07,07,02,22,02,2.0,07,07,02,22,02,2.0
24032,201804172018-01967             ,10,10,02,01,01,5.0,01,01,02,03,02,20.0
24033,201804172018-02014             ,06,06,03,01,01,3.0,06,06,02,05,01,16.0
24034,201804172018-02022             ,08,08,02,01,01,4.0,12,12,02,01,01,13.0
24035,201804172018-02028             ,12,12,02,01,01,11.0,06,06,02,01,01,3.0
24036,201804172018-02107             ,01,12,04,05,01,12.0,01,12,02,05,01,12.0
24037,201804172018-02138             ,14,14,04,01,01,12.0,14,14,02,01,01,12.0
24038,201804172018-02220             ,10,10,03,04,02,1.0,08,08,03,04,01,3.0
24039,201804172018-02276             ,12,17,01,01,01,8.0,06,06,02,01,01,2.0
24040,201804172018-02284             ,02,02,04,01,01,10.0,08,08,04,04,01,8.0
24041,201804172018-02285             ,01,01,02,01,01,11.0,11,11,02,01,01,4.0
24042,201804172018-02407             ,12,12,03,01,01,7.0,03,03,03,01,01,4.0
24043,201804172018-02690             ,12,12,02,01,01,1.0,06,06,02,01,01,12.0
24044,201804172018-02701             ,00,00,02,00,00,18.0,09,09,03,04,03,5.0
24045,201804172018-02751             ,12,12,04,04,01,4.0,06,06,03,04,01,1.0
24046,201804172018-02791             ,06,06,02,01,01,15.0,09,09,02,04,01,1.0
24047,201804172018-02829             ,07,07,02,01,01,16.0,01,01,02,01,01,10.0
24048,201804172018-02831             ,09,09,02,01,01,11.0,08,08,02,04,01,6.0
24049,201804172018-02882             ,12,12,03,04,01,10.0,06,06,02,01,01,2.0
24050,201804172018-03092             ,14,14,02,20,02,1.0,04,04,03,01,01,12.0
24051,201804172018-03144             ,12,12,02,04,01,8.0,06,06,02,04,01,1.0
24052,201804172018-03153             ,12,12,04,01,01,8.0,06,06,03,01,01,2.0
24053,201804172018-03272             ,12,12,03,04,01,4.0,06,06,03,01,01,1.0
24054,201804172018-03273             ,06,17,01,04,01,6.0,08,08,03,04,01,18.0
24055,201804172018-03323             ,03,03,03,01,01,10.0,07,07,03,01,01,0.5
24056,201804172018-03326             ,12,12,04,04,01,5.0,02,02,04,01,01,17.0
24057,201804172018-03329             ,12,12,02,04,01,7.0,06,06,02,01,02,2.0
24058,201804172018-03454             ,03,03,04,04,01,10.0,12,12,04,01,01,6.0
24059,201804172018-03457             ,12,12,03,01,01,1.0,06,06,03,01,01,4.0
24060,201804172018-03517             ,11,11,02,04,01,2.0,11,11,02,04,01,2.0
24061,201804172018-03583             ,12,12,02,01,01,4.0,06,06,02,03,03,1.0
24062,201804172018-03585             ,12,12,04,01,01,9.0,12,12,02,01,01,9.0
24063,201804172018-03622             ,01,02,02,01,01,18.0,01,02,02,01,01,18.0
24064,201804172018-03675             ,01,01,02,01,01,12.0,09,09,03,01,01,5.0
24065,201804172018-03812             ,06,06,02,04,01,16.0,03,03,03,04,01,13.0
24066,201804172018-03826             ,06,06,01,04,01,12.0,08,08,02,01,01,6.0
24067,201804172018-03918             ,12,12,04,01,01,6.0,12,12,02,01,01,6.0
24068,201804172018-04120             ,02,02,02,04,01,17.0,11,11,03,04,01,5.0
24069,201804172018-04211             ,07,17,01,20,02,3.0,06,06,03,04,01,2.0
24070,201804172018-04257             ,12,17,01,01,01,6.0,12,17,02,01,01,6.0
24071,201804172018-04323             ,06,06,02,04,01,2.0,08,08,02,01,01,3.0
24072,201804172018-04387             ,10,10,02,01,01,1.0,04,04,02,04,01,8.0
24073,201804172018-04546             ,01,17,01,01,01,19.0,07,07,02,01,01,3.0
24074,201804172018-04842             ,07,00,02,30,02,7.0,01,01,02,01,01,5.0
24075,201804172018-04851             ,12,17,01,01,01,2.0,06,06,02,01,01,1.0
24076,201804172018-04892             ,08,08,01,29,03,11.0,07,07,03,01,01,4.0
24077,201804172018-05047             ,03,03,04,04,01,1.0,11,11,04,01,01,3.0
24078,201804172018-05190             ,06,06,02,05,01,12.0,12,12,02,01,01,2.0
24079,201804172018-05249             ,12,12,02,01,02,4.0,06,06,02,01,01,8.0
24080,201804172018-05273             ,07,07,02,04,01,3.0,10,10,02,01,01,10.0
24081,201804172018-05305             ,01,01,03,04,01,12.0,01,01,02,04,01,12.0
24082,201804172018-05454             ,02,17,01,30,02,7.0,10,10,03,01,01,17.0
24083,201804172018-05466             ,01,01,03,01,01,11.0,09,09,03,01,01,1.0
24084,201804172018-05559             ,01,01,03,03,02,7.0,04,04,03,01,01,15.0
24085,201804172018-05560             ,01,01,03,01,01,3.0,06,06,03,01,01,15.0
24086,201804172018-05591             ,06,06,02,01,01,11.0,03,03,02,01,01,13.0
24087,201804172018-05653             ,12,17,01,01,01,3.0,06,06,02,01,01,12.0
24088,201804172018-05690             ,07,07,02,01,01,27.0,01,01,02,01,01,9.0
24089,201804172018-05745             ,10,10,02,01,01,1.0,10,10,02,01,01,1.0
24090,201804172018-05747             ,01,12,04,01,01,15.0,01,12,02,01,01,15.0
24091,201804172018-05781             ,12,12,02,04,01,0.5,06,06,02,01,01,8.0
24092,201804172018-05804             ,03,03,02,01,01,3.0,11,11,03,01,01,23.0
24093,201804172018-05811             ,12,17,01,04,01,11.0,12,17,02,04,01,11.0
24094,201804172018-05816             ,06,06,02,04,01,10.0,06,06,02,04,01,2.0
24095,201804172018-05818             ,12,12,02,04,01,4.0,06,06,01,01,01,4.0
24096,201804172018-05845             ,05,05,01,31,02,9.0,10,10,02,30,02,16.0
24097,201804172018-05855             ,07,07,03,01,02,10.0,09,09,03,01,01,10.0
24098,201804172018-05991             ,12,12,03,01,01,9.0,09,09,04,01,01,8.0
24099,201804172018-06118             ,12,12,02,01,01,8.0,01,01,02,01,01,14.0
24100,201804172018-06165             ,12,12,04,01,01,4.0,06,06,02,01,01,8.0
24101,201804172018-06208             ,04,04,02,01,01,2.0,11,11,02,04,01,1.0
24102,201804172018-06312             ,06,17,01,01,01,7.0,11,11,02,01,01,9.0
24103,201804172018-06414             ,12,12,01,01,01,6.0,06,06,01,01,01,16.0
24104,201804172018-06443             ,07,07,02,01,01,4.0,01,01,02,01,01,10.0
24105,201804172018-06553             ,07,07,02,01,01,6.0,01,01,03,01,01,7.0
24106,201804172018-06554             ,12,12,03,01,01,12.0,06,06,03,01,01,15.0
24107,201804172018-06605             ,12,12,02,01,01,11.0,06,06,02,01,01,11.0
24108,201804172018-06735             ,04,04,02,31,02,12.0,08,08,02,30,02,3.0
24109,201804172018-06864             ,12,12,03,01,01,11.0,06,06,04,01,01,6.0
24110,201804172018-06961             ,12,12,04,01,01,13.0,06,06,03,01,01,17.0
24111,201804172018-06965             ,10,10,03,04,01,3.0,10,10,02,04,01,3.0
24112,201804172018-07008             ,12,12,02,05,01,11.0,06,06,03,01,01,10.0
24113,201804172018-07013             ,12,12,02,01,01,1.0,06,06,02,01,01,3.0
24114,201804172018-07016             ,12,12,02,04,01,16.0,06,06,02,04,01,5.0
24115,201804172018-07064             ,06,06,02,01,01,4.0,12,12,02,01,01,10.0
24116,201804172018-07173             ,12,12,03,03,02,16.0,09,09,02,01,01,20.0
24117,201804172018-07181             ,07,07,02,04,01,19.0,05,05,02,02,02,3.0
24118,201804172018-07187             ,07,07,02,04,02,2.0,06,06,03,04,01,4.0
24119,201804172018-07352             ,11,11,03,01,01,1.0,03,03,03,01,01,9.0
24120,201804172018-07424             ,06,06,03,04,01,1.0,09,09,02,01,01,7.0
24121,201804172018-07457             ,12,12,04,04,01,4.0,06,12,03,04,01,5.0
24122,201804172018-07464             ,06,06,03,01,01,0.5,06,06,02,01,01,0.5
24123,201804172018-07465             ,06,06,02,04,01,0.5,06,06,02,01,01,0.5
24124,201804172018-07493             ,12,12,03,01,01,15.0,11,11,03,01,01,8.0
24125,201804172018-07498             ,12,12,02,01,01,0.5,06,06,03,01,01,2.0
24126,201804172018-07668             ,07,07,03,04,02,0.5,07,07,03,01,01,13.0
24127,201804172018-07784             ,12,12,03,01,01,5.0,06,06,03,04,01,0.5
24128,201804172018-07809             ,12,12,02,01,01,12.0,06,06,02,04,01,5.0
24129,201804172018-07819             ,02,02,03,04,01,9.0,09,09,03,01,01,8.0
24130,201804172018-07996             ,12,12,02,01,01,2.0,06,06,02,04,01,10.0
24131,201804172018-08033             ,01,02,04,01,01,6.0,08,08,03,01,01,2.0
24132,201804172018-08109             ,07,07,02,04,01,3.0,01,01,02,01,01,12.0
24133,201804172018-08125             ,02,12,03,01,01,18.0,11,11,02,05,01,6.0
24134,201804172018-08254             ,06,06,02,01,01,8.0,12,12,02,01,01,9.0
24135,201804172018-08260             ,02,02,02,01,01,7.0,11,11,02,04,01,6.0
24136,201804172018-08399             ,02,02,02,01,01,2.0,07,17,01,20,02,0.3
24137,201804172018-08404             ,12,12,04,01,01,7.0,09,09,04,01,01,9.0
24138,201804172018-08487             ,06,06,02,01,01,14.0,06,06,02,04,01,0.5
24139,201804172018-08657             ,12,12,02,04,01,1.0,06,06,03,04,01,3.0
24140,201804172018-08663             ,06,17,01,04,02,3.0,12,12,02,01,01,4.0
24141,201804172018-08699             ,12,12,02,04,01,7.0,06,12,04,01,01,11.0
24142,201804172018-08704             ,11,14,04,01,01,12.0,11,14,02,01,01,12.0
24143,201804172018-08725             ,01,01,02,01,01,9.0,01,01,02,01,01,9.0
24144,201804172018-08767             ,11,12,04,01,01,16.0,01,01,04,01,01,4.0
24145,201804172018-08860             ,12,12,02,04,01,0.5,09,09,03,01,01,11.0
24146,201804172018-08924             ,03,03,02,05,02,10.0,11,11,02,01,01,10.0
24147,201804172018-08962             ,12,12,04,01,01,17.0,10,10,03,01,01,1.0
24148,201804172018-08983             ,12,12,04,01,01,1.0,12,12,02,01,01,1.0
24149,201804172018-08987             ,09,09,02,31,03,5.0,05,05,03,01,01,0.5
24150,201804172018-08990             ,12,12,02,01,01,11.0,06,06,02,99,03,18.0
24151,201804172018-09189             ,03,03,02,01,01,4.0,11,11,03,01,01,17.0
24152,201804172018-09228             ,01,01,02,01,01,6.0,11,11,02,01,01,5.0
24153,201804172018-09265             ,06,17,01,01,01,0.5,12,17,01,03,02,1.0
24154,201804172018-09312             ,12,12,03,01,01,7.0,06,06,03,04,01,2.0
24155,201804172018-09360             ,12,17,01,01,01,19.0,06,17,01,01,01,2.0
24156,201804172018-09516             ,06,06,02,01,01,7.0,07,07,02,01,01,2.0
24157,201804172018-09528             ,07,07,03,01,01,15.0,05,05,02,05,02,19.0
24158,201804172018-09547             ,04,17,01,04,01,1.0,11,11,02,01,01,0.5
24159,201804172018-09614             ,12,12,02,05,01,18.0,06,06,03,01,01,10.0
24160,201804172018-09636             ,07,08,03,04,01,12.0,07,07,03,01,01,11.0
24161,201804172018-09647             ,12,12,02,04,01,18.0,06,06,03,04,01,11.0
24162,201804172018-09862             ,12,12,02,01,01,0.5,06,06,02,01,01,0.5
24163,201804172018-10163             ,01,01,04,01,01,1.0,01,01,02,01,01,1.0
24164,201804172018-10205             ,01,01,02,05,99,13.0,03,03,04,01,01,7.0
24165,201804172018-10283             ,02,02,03,04,01,7.0,08,08,03,01,01,3.0
24166,201804172018-10331             ,11,11,03,01,01,9.0,06,06,03,01,01,1.0
24167,201804172018-10455             ,12,12,04,01,01,9.0,06,06,03,01,01,3.0
24168,201804172018-10559             ,06,06,02,10,03,14.0,12,12,02,01,01,3.0
24169,201804172018-10622             ,12,12,01,01,01,7.0,06,06,02,01,01,5.0
24170,201804172018-10658             ,03,02,04,04,01,17.0,10,10,02,21,03,0.5
24171,201804172018-10961             ,12,12,02,04,01,15.0,06,06,02,01,01,13.0
24172,201804172018-10966             ,17,17,01,05,02,1.0,17,17,02,05,02,1.0
24173,201804172018-10967             ,12,11,02,01,01,4.0,06,06,02,01,01,2.0
24174,201804172018-11132             ,03,03,03,01,01,3.0,09,09,02,01,01,3.0
24175,201804172018-11184             ,12,12,04,04,01,0.5,12,12,02,04,01,0.5
24176,201804172018-11189             ,12,12,02,04,01,5.0,06,06,02,01,01,10.0
24177,201804172018-11195             ,05,05,02,04,01,0.5,05,05,02,04,01,0.5
24178,201804172018-11240             ,03,03,02,30,02,2.0,03,03,02,30,02,2.0
24179,201804172018-11337             ,01,01,03,01,01,16.0,07,07,03,04,01,12.0
24180,201804172018-11396             ,01,01,03,01,01,11.0,05,05,03,04,01,4.0
24181,201804172018-11436             ,12,12,04,01,99,1.0,12,12,04,01,01,3.0
24182,201804172018-11504             ,03,03,03,01,01,19.0,07,07,02,31,02,12.0
24183,201804172018-11546             ,12,12,04,04,01,3.0,09,09,04,04,01,1.0
24184,201804172018-11710             ,03,03,02,01,01,6.0,09,09,02,01,01,14.0
24185,201804172018-11754             ,12,12,02,01,01,1.0,06,06,04,01,01,16.0
24186,201804172018-11755             ,12,12,02,01,02,6.0,99,99,03,10,02,7.0
24187,201804172018-11774             ,09,09,03,01,01,0.5,01,01,03,01,01,12.0
24188,201804172018-11775             ,02,02,02,01,01,19.0,11,11,02,04,01,3.0
24189,201804172018-11797             ,12,12,03,01,01,27.0,06,06,03,04,01,13.0
24190,201804172018-11806             ,11,11,02,01,01,13.0,11,11,02,01,01,13.0
24191,201804172018-11823             ,12,12,03,01,01,3.0,04,04,03,01,01,6.0
24192,201804172018-11880             ,11,11,03,01,01,9.0,02,02,03,01,01,4.0
24193,201804172018-11886             ,11,11,02,01,01,1.0,01,01,02,04,01,0.5
24194,201804172018-11887             ,03,03,02,04,01,6.0,08,08,02,01,01,14.0
